Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C17, C2",C0603,4,1uF,C5673
"C3, C4, C7",C0603,3,10uF,C19702
"C5, C6",C0603,2,104,C1591
"C8, C9",C0603,2,0.1uF,C1591
"D1, D3",SOD-323_L1.8-W1.3-LS2.5-RD,2,B5819WS,C22624
J2,B3B-EH-A,1,Conn_01x03,C160259
LED1,LED0603-RD_RED,1,RED 0603,C94740
Q1,MMBT3906LT1G,1,MMBT3906,C53444
"R2, R3",0603WAF5101T5E,2,5k1,C23186
"R4, R5, R6, R8",0603WAF5101T5E,4,10k,C25804
R7,0603WAF5101T5E,1,20k,C4184
R9,0603WAF5101T5E,1,1k,C116692
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,
U2,WCH_QFN-16-1EP_3x3mm_P0.5mm_EP1.8x1.8mm,1,CH343P,C2846043
U5,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,1,SN74LVC1G125DBVR,C23654
U6,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,1,SN74LVC1G126DBVR,C7834
USB1,USB-C-SMD_TYPE-C16PIN,1,~,C165948
