Designator,Mid X,Mid Y,Rotation,Layer
C1,1.95,38.09475,0.0,top
C10,9.3,20.89475,0.0,top
C17,2.3,13.69475,180.0,top
C2,1.95,36.39475,0.0,top
C3,2.3,15.49475,180.0,top
C4,10.1,18.59475,270.0,top
C5,8.79,36.37,270.0,top
C6,4.6,32.4,90.0,top
C7,1.0,10.0,270.0,top
C8,9.3,24.29475,0.0,top
C9,9.3,22.59475,0.0,top
D1,9.59,39.73,270.0,top
D3,4.7,14.39475,270.0,top
J2,5.4625,46.6,0.0,top
LED1,9.4,16.09475,180.0,top
Q1,2.6,30.2,180.0,top
R2,9.3,13.79475,90.0,top
R3,7.8,13.79475,90.0,top
R4,2.8,34.24475,270.0,top
R5,9.3,31.49475,180.0,top
R6,1.3,34.24475,90.0,top
R7,9.3,25.89475,180.0,top
R8,1.4,26.99475,90.0,top
R9,8.5,18.59475,270.0,top
U1,4.1,20.79475,270.0,top
U2,5.65,36.29475,0.0,top
U5,4.0955,26.89475,270.0,top
U6,9.3,28.79475,90.0,top
USB1,5.5,3.63225,0.0,top
